amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
303-2175412-7888304	303-2175412-7888304	2023-08-26T10:25:04+00:00	2023-08-28T13:19:23+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Winkelverbinder | 25 Stück 60 x 60 x 40 x 2 mm | Winkel, Winkelhalterung, L-Winkel, Metallwinkel, Stuhlwinkel, Stahlwinkel, Schwe	GK-4SMV-2S8T	B09BVP8XFW	Shipped	1	EUR	16.99	2.71							Magdeburg	Sachsen-Anhalt	39118	DE		false			false	
304-7776692-4813116	304-7776692-4813116	2023-08-28T06:30:50+00:00	2023-08-28T13:19:13+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	30.22	5.04							Reißeck		9816	AT		false			false	
306-5371152-5147557	306-5371152-5147557	2023-08-27T11:18:24+00:00	2023-08-28T13:19:00+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Turbo Diamanttrennscheibe | 150/22,23/2/10 | heißgepresste Turbodiamantsegmente longlife, gehärteten Stahl | Trocken.- und Nasss	6A-TNE9-3CH4	B09BNGBCD3	Shipped	1	EUR	14.99	2.39	1.67					1.67	Mönchengladbach		41169	DE	DE Core Free Shipping 2018/04/24 20-00-00	false			false	
305-9342147-2461140	305-9342147-2461140	2023-08-27T14:13:31+00:00	2023-08-28T13:18:51+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 10 mm braun - 100 Stk. | Abstandshalter, Plättchen aus Kunststoff, Distanzplatten, Klötze, Unterle	YX-ZU3N-YRQO	B08SCHG523	Shipped	1	EUR	33.99	5.43	0.56					0.56	Diemelsee	Hessen	34519	DE	DE Core Free Shipping 2018/04/24 20-00-00	false			false	
306-4860559-0324327	306-4860559-0324327	2023-08-27T07:38:39+00:00	2023-08-28T13:18:44+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT Schleifpapier für Profi-Schwingschleifer | Gold, 93 x 186 mm 60er-Set | Schleifblätter, Schleifpapier mit Absauglöscher, Klett Rückseite	OJ-I25H-MWPX	B09QJ8GWDC	Shipped	1	EUR	18.98	3.03							Waldems		65529	DE		false			false	
303-1449353-3066737	303-1449353-3066737	2023-08-26T08:35:05+00:00	2023-08-28T13:18:30+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Kunststoff Keile | Made in Germany | Plastik Keile, Montagekeile, Distanzkeile aus Kunststoff (135 x Keile MIX geschlossen)	6Z-R0CA-A8ZW	B07ZPC81W2	Shipped	1	EUR	26.49	4.23							Ilsede	Deutschland	31241	DE		false			false	
305-5475334-3304302	305-5475334-3304302	2023-08-17T07:43:07+00:00	2023-08-28T13:18:27+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Justierschraube | 6 x 100 mm, T30, blau verzinkt, Stahl | Fräsrippen, Cut-Spitze, Senkkopf | Holz- Universalschrauben, Ring- und	7H-B0F3-YDBF	B08XFKLXZZ	Shipped	2	EUR	50.4	7.98					2.1		Langau		2091	AT	FBA Subscribe & Save Discount	false			false	
303-1418470-2284344	303-1418470-2284344	2023-08-27T10:00:01+00:00	2023-08-28T13:18:15+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXTï¿½ Premium Winkelverbinder | 25 Stï¿½ck 60 x 60 x 40 x 2 mm | Winkel, Winkelhalterung, L-Winkel, Metallwinkel, Stuhlwinkel, Stahlwinke	GK-4SMV-2S8T	B09BVP8XFW	Shipped	1	EUR	16.99	2.71							Brieselang	Brandenburg	14656	DE		false			false	
302-8251184-1398740	302-8251184-1398740	2023-08-27T21:03:36+00:00	2023-08-28T13:18:02+00:00	Pending	Amazon	Amazon.de		Standard	INNONEXXT® Premium Spanplattenschrauben 4,0 x 40 mm | Fräsrippen | Cut-Spitze | Terrassenschrauben, Holzschrauben, Universalschrauben | gelb verzink	2L-YNVU-VH0U	B08GJ7T3H1	Unshipped	1	EUR	20.99								Sundhagen		18519	DE	DE Core Free Shipping 2018/04/24 20-00-00	false			false	
302-8251184-1398740	302-8251184-1398740	2023-08-27T21:03:36+00:00	2023-08-28T13:18:02+00:00	Pending	Amazon	Amazon.de		Standard	INNONEXXT® Premium Spanplattenschrauben | 4,0 x 50 mm | Fräsrippen | Cut-Spitze | Terrassenschrauben, Holzschrauben, Universalschrauben | gelb verzi	34-7W3X-QKGZ	B08GJ8BTPS	Shipped	1	EUR	23.49	3.75	1.12					1.12	Sundhagen		18519	DE	DE Core Free Shipping 2018/04/24 20-00-00	false			false	
304-5167090-8325133	304-5167090-8325133	2023-08-25T20:45:29+00:00	2023-08-28T13:17:39+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Schnellbauschraube mit Grobgewinde | 3,9 x 30 mm | Gipskarton-Schraube, Rigipsschrauben, Trockenwandschrauben, Universalschrauben	7Q-22RC-QHQC	B08GD325J7	Shipped	1	EUR	16.49	2.45					0.97		Neuwied	Rheinland-Pfalz	56567	DE	VPC-4-123386915 Coupon	false			false	
303-6085631-9864355	303-6085631-9864355	2023-08-25T10:14:37+00:00	2023-08-28T13:17:30+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	29.97	4.79	1.68					1.68	Waldshut-Tiengen		79761	DE	DE Core Free Shipping 2018/04/24 20-00-00	false			false	
304-6389991-4957917	304-6389991-4957917	2023-08-27T19:44:32+00:00	2023-08-28T13:17:17+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 2 mm blau - 250 Stk. | Abstandshalter, Plättchen aus Kunststoff, Distanzplatten, Klötze, Unterlegk	X5-UL3C-VSKP	B08SCGL8HV	Shipped	1	EUR	27.99	4.47							Regensburg	Bayern	93057	DE		false			false	
304-6389991-4957917	304-6389991-4957917	2023-08-27T19:44:32+00:00	2023-08-28T13:17:17+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 1,5 mm weiß - 250 Stk. | Abstandshalter, Plättchen aus Kunststoff, Distanzplatten, Klötze, Unterl	SS-AOGO-KFY6	B08SCFX42D	Unshipped	1	EUR	25.99								Regensburg	Bayern	93057	DE		false			false	
304-4405980-4896354	304-4405980-4896354	2023-08-27T10:55:57+00:00	2023-08-28T13:16:57+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 800 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	26.99	4.31							Bramsche		49565	DE		false			false	
302-1089132-3881111	302-1089132-3881111	2023-08-26T12:11:46+00:00	2023-08-28T13:16:53+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Abstandshalter | 2 mm, 200 Stück, 60 x 45 mm | Unterlegplatten, Abstandhalter, Distanzhalter, Kunststoff Platten, Klötze, Ausgle	C4-KNSM-500E	B09JCT535C	Shipped	1	EUR	23.89	3.98							Voecklamarkt	Oesterreich	4870	AT		false			false	
302-1089132-3881111	302-1089132-3881111	2023-08-26T12:11:46+00:00	2023-08-28T13:16:53+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Abstandshalter | 5 mm, 200 Stück, 60 x 45 mm | Unterlegplatten, Abstandhalter, Distanzhalter, Kunststoff Platten, Klötze, Ausgle	89-7HOX-YNO1	B09JD8T5X7	Shipped	1	EUR	28.97	4.83							Voecklamarkt	Oesterreich	4870	AT		false			false	
302-1089132-3881111	302-1089132-3881111	2023-08-26T12:11:46+00:00	2023-08-28T13:16:53+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Abstandshalter | 1 mm, 200 Stück, 60 x 45 mm | Unterlegplatten, Abstandhalter, Distanzhalter, Kunststoff Platten, Klötze, Ausgle	TK-CE3Q-QCGD	B09JCRSC1X	Shipped	1	EUR	23.89	3.98							Voecklamarkt	Oesterreich	4870	AT		false			false	
303-3402754-9137930	303-3402754-9137930	2023-08-27T15:40:21+00:00	2023-08-28T13:16:30+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Turbo Diamanttrennscheibe | 150/22,23/2/10 | heißgepresste Turbodiamantsegmente longlife, gehärteten Stahl | Trocken.- und Nasss	6A-TNE9-3CH4	B09BNGBCD3	Shipped	1	EUR	14.99	2.39							Bochum		44879	DE		false			false	
028-9716462-3518731	028-9716462-3518731	2023-08-27T11:00:26+00:00	2023-08-28T13:16:27+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Diamant-Dosensenker Dosenbohrer 68mm | Spezial-Turbo-segmentiert, lasergeschweißt | Lochbohrer, Steckdosenbohrer | Mauerwerk, Kal	0Y-J3AN-1SZ7	B09CZHP57M	Shipped	1	EUR	35.99	5.75							Essingen	Baden-Württemberg	73457	DE		false			false	
305-9884872-1661921	305-9884872-1661921	2023-08-28T04:36:31+00:00	2023-08-28T13:16:13+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 5 mm grün - 250 Stk. | Abstandshalter, Plättchen aus Kunststoff, Distanzplatten, Klötze, Unterleg	07-RYP6-MT08	B08SCFCK2H	Shipped	1	EUR	36.98	5.9							Horst		25358	DE		false			false	
304-5990954-8856320	304-5990954-8856320	2023-08-27T06:37:45+00:00	2023-08-28T13:16:00+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	29.97	4.79							Trebgast		95367	DE		false			false	
305-7085304-8234739	305-7085304-8234739	2023-08-26T21:14:22+00:00	2023-08-28T13:15:52+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 600 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	IT-JXWS-5JZ0_FBM	B09BZJJDRZ	Shipped	1	EUR	23.99	3.83							Schauenburg	Hessen	34270	DE		false			false	
302-7522849-1411544	302-7522849-1411544	2023-08-27T13:01:52+00:00	2023-08-28T13:15:48+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm 160 Stück Mix | Abstandshalter, Plättchen aus Kunststoff | Tragfähigkeit bis 16 t | Set: 1.5, 2, 3	JV-YDRH-BYKA	B07NZJJHDG	Shipped	1	EUR	41.84	6.97							Berndorf bei Salzburg	Salzburg-Umgebung	5165	AT		false			false	
028-4011427-7594713	028-4011427-7594713	2023-08-26T13:19:17+00:00	2023-08-28T13:15:41+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Schleifpapier Rolle | 6 Stück, 93 mm x 5 m | Schmirgelpapier fein, grob | Schleifset für Handschleifer, Schleifklotz, Schleifblo	K9-EVG4-MYQB	B09QJTMLDK	Shipped	1	EUR	22.49	3.59							Pettendorf	Bayern	93186	DE		false			false	
304-7703847-7800314	304-7703847-7800314	2023-08-28T08:15:40+00:00	2023-08-28T13:15:36+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 600 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	IT-JXWS-5JZ0_FBM	B09BZJJDRZ	Shipped	1	EUR	23.99	3.83							Langenhagen		30855	DE		false			false	
304-5142808-0974764	304-5142808-0974764	2023-08-28T07:48:02+00:00	2023-08-28T13:15:35+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	30.22	5.04							Weiten		3653	AT		false			false	
305-0492861-0994737	305-0492861-0994737	2023-08-27T19:50:19+00:00	2023-08-28T13:15:13+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 80 Stk | Abstandshalter, Plättchen aus Kunststoff, Unterlegklotz, Distanzhalter | Tragfähigkeit bi	RI-897L-YJHU	B08SCJC5BX	Shipped	1	EUR	27.96	4.46							Weißenburg I.bay.		91781	DE		false			false	
303-4487385-9310701	303-4487385-9310701	2023-08-28T13:14:36+00:00	2023-08-28T13:14:40+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 3 mm rot - 250 Stk. | Abstandshalter, Plättchen aus Kunststoff, Distanzplatten, Klötze, Unterlegkl	M3-ONG5-94IH	B08SCK7GP1	Unshipped	1	EUR	29.94								Tübingen		72076	DE		false			false	
303-4044286-5114762	303-4044286-5114762	2023-08-28T13:09:39+00:00	2023-08-28T13:09:45+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Winkelverbinder | 25 Stück 60 x 60 x 40 x 2 mm | Winkel, Winkelhalterung, L-Winkel, Metallwinkel, Stuhlwinkel, Stahlwinkel, Schwe	GK-4SMV-2S8T	B09BVP8XFW	Unshipped	1	EUR	16.99								Lenningen	Baden-Württemberg	73252	DE		false			false	
302-0983297-6615551	302-0983297-6615551	2023-08-28T04:57:29+00:00	2023-08-28T13:04:55+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	29.97	4.79							Rheurdt		47509	DE		false			false	
304-1170166-2549102	304-1170166-2549102	2023-08-28T13:03:03+00:00	2023-08-28T13:03:07+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Terrassenschrauben inkl. Bit | 5,0 x 60 mm 200 Stück C1-Edelstahl gleitbeschichtet | Fräsrippen, Cut-Spitze | Holzschrauben | Ma	UA-0KEE-NJEO	B09GKVXT43	Unshipped	1	EUR	25.99								Recklinghausen		45663	DE		false			false	
306-5862740-7804342	306-5862740-7804342	2023-08-28T12:57:41+00:00	2023-08-28T13:00:14+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 800 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	2I-PB7C-OYPH_FBM	B09BZLK44P	Unshipped	1	EUR	26.72								Buxtehude	Niedersachsen	21614	DE		true	M.Krüger	Business Price	false	
305-4884997-5958751	305-4884997-5958751	2023-08-28T12:32:01+00:00	2023-08-28T12:32:05+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Fugenkreuze | 5mm x 15mm 150 Stück | Fugenkreuze für Terrassenplatten und Betonplatten, Abstandshalter Terrassenplatten, Terrass	UN-U3QV-L1YZ	B0BJFJRKQ4	Unshipped	1	EUR	17.49								Rottweil		78628	DE		false			false	
303-4202488-2964335	303-4202488-2964335	2023-08-28T12:31:43+00:00	2023-08-28T12:31:47+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Winkelverbinder | 25 Stück 60 x 60 x 40 x 2 mm | Winkel, Winkelhalterung, L-Winkel, Metallwinkel, Stuhlwinkel, Stahlwinkel, Schwe	GK-4SMV-2S8T	B09BVP8XFW	Unshipped	1	EUR	16.99								Hartha		04746	DE		false			false	
028-6840178-8392315	028-6840178-8392315	2023-08-28T12:28:02+00:00	2023-08-28T12:28:07+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Kunststoff Keile | Made in Germany | Plastik Keile, Montagekeile, Distanzkeile aus Kunststoff (135 x Keile MIX geschlossen)	6Z-R0CA-A8ZW	B07ZPC81W2	Unshipped	1	EUR	26.49								Edersleben		06528	DE		false			false	
306-1149365-4704315	306-1149365-4704315	2023-08-28T12:24:25+00:00	2023-08-28T12:25:37+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 800 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	2I-PB7C-OYPH_FBM	B09BZLK44P	Unshipped	1	EUR	26.99								Frankfurt am Main	Hessen	60388	DE		false			false	
306-9474533-5323557	306-9474533-5323557	2023-08-27T12:06:37+00:00	2023-08-28T12:21:41+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Schleifpapier Set Gold | Ø 125mm, 60 Stück, 8-Loch | Exzenter Schleifscheiben, Schleifblätter rund universell, Schleifpapier Kl	2R-9ZP5-A8W2	B09QD5239J	Shipped	1	EUR	12.99	2.07							Eutin		23701	DE		false			false	
303-8414734-1873169	303-8414734-1873169	2023-08-28T12:21:29+00:00	2023-08-28T12:21:33+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm 160 Stück Mix | Abstandshalter, Plättchen aus Kunststoff | Tragfähigkeit bis 16 t | Set: 1.5, 2, 3	JV-YDRH-BYKA	B07NZJJHDG	Unshipped	2	EUR	82.16								Berlin		12623	DE		true	BV - PV Kieper	Business Price	false	
304-2248705-0781134	304-2248705-0781134	2023-08-28T12:15:34+00:00	2023-08-28T12:16:43+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Professional Dreieckschleifer Schleifpapier |100 x 150 mm, Gold, 100 Stück, 7 Loch | Delta.- Multischleifer, Schleifblätter Klett | 10x	J0-4EOO-GOQ2	B09QJ7P35S	Unshipped	1	EUR	31.98								Rheine	Nordrhein-Westfalen	48429	DE		false			false	
305-4616821-8810763	305-4616821-8810763	2023-08-28T12:14:19+00:00	2023-08-28T12:14:24+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 500 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	RI-ZWH8-BLFL_FBM	B09BZM7W2J	Unshipped	1	EUR	21.99								Kaufbeuren	Bayern	87600	DE		false			false	
302-2578457-4053921	302-2578457-4053921	2023-08-28T12:10:31+00:00	2023-08-28T12:10:35+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Profilverbindungsschrauben | 3,9 x 11 mm | 500 Stück | Metallprofileschrauben, Profil Schrauben, Blechschrauben schwarz, Trockenb	2R-KNCM-T7QB	B08GFWYC7M	Unshipped	1	EUR	15.49								Döbeln		04720	DE		false			false	
302-3720752-7024332	302-3720752-7024332	2023-08-27T19:33:06+00:00	2023-08-28T12:10:03+00:00	Pending	Amazon	Amazon.de		Standard	INNONEXXT® Premium Gipsfaserplattenschrauben | 3,9 x 25 mm | Faserzementplattenschrauben, Rigipsschrauben, Trockenwandschrauben, Universalschrauben |	OA-VZU8-R4E6	B08GFVZ86G	Unshipped	2	EUR	29.98	4.78	2.44					2.44	St. Goarshausen		56346	DE	DE Core Free Shipping 2018/04/24 20-00-00	false			false	
305-0988445-2457127	305-0988445-2457127	2023-08-28T12:04:32+00:00	2023-08-28T12:04:37+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Justierschraube | 6 x 60mm, T30, blau verzinkt, Stahl | Fräsrippen, Cut-Spitze, Senkkopf | Holz- Universalschrauben, Ring- und Ho	IF-JZE6-BBFM	B08XFDZSYG	Unshipped	1	EUR	19.49								Wolfsburg		38442	DE		false			false	
304-4467094-9413133	304-4467094-9413133	2023-08-27T10:35:24+00:00	2023-08-28T11:58:01+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Turbo Diamanttrennscheibe | 125/22,23/1,8/10 | heißgepresste Turbodiamantsegmente longlife, gehärteten Stahl | Trocken.- und Nas	YN-JM9Q-CM89	B09BNGNKD5	Shipped	1	EUR	12.49	1.99							Hüllhorst	NRW	32609	DE		false			false	
305-4675717-1608302	305-4675717-1608302	2023-08-28T11:55:10+00:00	2023-08-28T11:55:14+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 40er Set - 60 x 40 mm | Abstandshalter, Plättchen aus Kunststoff | Tragfähigkeit bis 5 t | Set: 1.5, 2, 3, 4,	9L-HBWO-UNTN	B09JGD3YWL	Unshipped	1	EUR	19.98								Langenhagen		30853	DE		false			false	
304-0724553-2872340	304-0724553-2872340	2023-08-28T11:52:53+00:00	2023-08-28T11:52:57+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Unshipped	1	EUR	29.97								Sengenthal	Deutschland	92369	DE		false			false	
304-0363966-1351500	304-0363966-1351500	2023-08-28T11:52:42+00:00	2023-08-28T11:52:46+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Gipsfaserplattenschrauben | 3,9 x 30 mm | Faserzementplattenschrauben, Rigipsschrauben, Trockenwandschrauben, Universalschrauben |	09-MWHQ-H5TB	B08GFVMJTR	Unshipped	1	EUR	15.69								Hanau	Hessen	63457	DE		false			false	
303-7853844-2319541	303-7853844-2319541	2023-08-28T11:43:57+00:00	2023-08-28T11:44:01+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Unshipped	1	EUR	29.97								Breidenbach		35236	DE		false			false	
302-8775340-9858740	302-8775340-9858740	2023-08-28T11:40:00+00:00	2023-08-28T11:40:06+00:00	Pending	Amazon	Amazon.de		Expedited	Mouji® Premium Wärmflasche mit warmem Bezug flauschig 2l | Thermophor | Wärmflaschen, Warmflasche | Wärmeflaschen, Bettflasche für Erwachsene, W�	Q3-O0M7-42OG	B09TRDGS2F	Unshipped	1	EUR	12.99								Konstanz	Baden-Württemberg	78464	DE		false			false	
302-0410167-3526761	302-0410167-3526761	2023-08-27T07:14:50+00:00	2023-08-28T11:34:56+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Turbo Diamanttrennscheibe | 180/22,23/2,2/10 | heißgepresste Turbodiamantsegmente longlife, gehärteten Stahl | Trocken.- und Nas	6S-7WJG-7U3J	B09BNHL7WG	Shipped	1	EUR	15.99	2.55							Röttenbach		91187	DE		false			false	
302-5371316-9477164	302-5371316-9477164	2023-08-27T17:17:15+00:00	2023-08-28T11:34:37+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Verglasungsklötze | 24 x 100 mm, 600 Stück | Made in Germany | Unterlegplatten, Abstandshalter, Distanzklötze aus Kunststoff, A	GJ-6IO8-W0G9	B07ZPBVDLY	Unshipped	1	EUR	30.22	5.04							Volders	Tirol	6111	AT		false			false	
306-6054995-0180308	306-6054995-0180308	2023-08-28T11:26:15+00:00	2023-08-28T11:27:43+00:00	Pending	Amazon	Amazon.de		Standard	INNONEXXTï¿½ Professional Dreieckschleifer Schleifpapier |100 x 150 mm, Gold, 100 Stï¿½ck, 7 Loch | Delta.- Multischleifer, Schleifblï¿½tter	J0-4EOO-GOQ2	B09QJ7P35S	Unshipped	1	EUR	31.98								Vreden		48691	DE		false			false	
302-1218241-7457934	302-1218241-7457934	2023-08-28T10:20:49+00:00	2023-08-28T11:23:27+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT Schleifpapier für Profi-Schwingschleifer | Gold, 93 x 186 mm 60er-Set | Schleifblätter, Schleifpapier mit Absauglöscher, Klett Rückseite	OJ-I25H-MWPX	B09QJ8GWDC	Unshipped	1	EUR	18.79								Aschersleben		06449	DE		true	Noth	Business Price	false	
302-1218241-7457934	302-1218241-7457934	2023-08-28T10:20:49+00:00	2023-08-28T11:23:27+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Professional Dreieckschleifer Schleifpapier |100 x 150 mm, Gold, 100 Stück, 7 Loch | Delta.- Multischleifer, Schleifblätter Klett | 10x	J0-4EOO-GOQ2	B09QJ7P35S	Unshipped	1	EUR	31.66								Aschersleben		06449	DE		true	Noth	Business Price	false	
305-4476053-4149904	305-4476053-4149904	2023-08-28T11:20:17+00:00	2023-08-28T11:21:25+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Professional Dreieckschleifer Schleifpapier |100 x 150 mm, Gold, 100 Stück, 7 Loch | Delta.- Multischleifer, Schleifblätter Klett | 10x	J0-4EOO-GOQ2	B09QJ7P35S	Unshipped	1	EUR	31.98								Hainburg		63512	DE		false			false	
028-3781930-1860320	028-3781930-1860320	2023-08-28T11:18:36+00:00	2023-08-28T11:18:41+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Terrassendielen Abstandshalter | Terrassfix Dielenabstand 4 mm - 500 Stück | Lastübertragung bis 8 Tonnen | Terrassenabstandshal	U1-3J8F-95E1	B0944899KY	Unshipped	1	EUR	34.99								Oldenburg		26127	DE		false			false	
304-2723964-7343524	304-2723964-7343524	2023-08-28T11:15:17+00:00	2023-08-28T11:15:21+00:00	Pending	Amazon	Amazon.de		Expedited	INNONEXXT® Premium steckbare Unterlegplatten | 40x80-200 Stk. Mix bis 16t | Distanzplättchen, Unterlegplättchen aus Kunststoff, Ausgleichsplättche	MH-CJRY-5P2K	B0BZ148L38	Unshipped	5	EUR	142.5								Schlettau		09487	DE		true		Quantity Price	false	
